Ime sustava,Orbitalna konfiguracija,Oznaka matične zvijezde,Ime zvijezde A,Ime zvijezde B,Ime zvijezde C,Masa A [m_s],Masa B [m_s],Masa C [m_s],Radijus A [R_s],Radijus B [R_s],Radijus C [R_s],T_eff A [K],T_eff B [K],T_eff C [K],Spektralni tip A,Spektralni tip B,Spektralni tip C,Oznake unutarnjeg para,a_u [AU],e_u,i_u [º],Omega_u [º],omega_u [º],Oznake vanjskog para,a_v [AU],e_v,i_v [º],Omega_v [º],omega_v [º],Izvori
Gliese 667,S(C),C,Gliese 667 A,Gliese 667 B,Gliese 667 C,0.73,0.69,0.31,0.76,0.7,0.42,4270,3998,3700,K3V,K5V,M1.5V,A-B,12.6,0.57,127.6,133.2,68.1,C,230,,,,,"[14], [17],  [18], [19], [20]"
LTT 1445,S(C),C,LTT 1445 B,LTT 1445 C,LTT 1445 A,0.215,0.161,0.257,0.236,0.197,0.271,3430,2500,3337,M3V,M,M2.5V,A-B,7.95,0.5,89.64,137.63,209,C,34,,92.52,,,"[14], [17], [20], [21], [22]"
94 Ceti,S(C),C,94 Ceti B,94 Ceti C,94 Ceti A,0.55,0.34,1.3,0.4,0.588,1.898,3850,3430,6055,M0V,M3V,F8V,A-B,0.984,0.36,108.323,191.496,334.895,C,220,0.26,104,97,342,"[14], [17],  [19], [23], [24], [25]"
Kepler-444,S(C),C,Kepler-444 B,Kepler-444 C,Kepler-444 A,0.307,0.296,0.754,0.36,0.3,0.753,3464,3750,5046,M,M,K0V,A-B,0.3,,,,,C,52.2,0.55,85.4,250.7,227.3,"[14], [17], [19], [20], [26]"
HD 132563,S(C),C,HD 132563 Aa,HD 132563 Ab,HD 132563 B,1.081,0.6,1.01,1.3,,1.1,6168,,5985,F8V,M,G0V,A-B,14.8,0.86,,,160.2,C,400,,,,,"[14], [17], [19], [20], [27], [28]"
