pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_spectype,st_teff,st_rad,st_mass,sy_dist,sy_vmag
TOI-4336 A c,TOI-4336 A,3,2,7.58726600000,0.0509200000,1.25100000,1.55000000,0.000000,399.50,M3.5 V,3307.00,0.326000,0.306000,22.54550000,13.6000000
V1298 Tau b,V1298 Tau,3,4,24.14000600000,0.1685000000,9.41000000,13.10000000,0.007900,666.00,K1,4970.00,1.320000,1.100000,108.19900000,10.1150000
V1298 Tau c,V1298 Tau,3,4,8.24916400000,0.0824000000,5.08000000,4.70000000,0.009400,953.00,K1,4970.00,1.320000,1.100000,108.19900000,10.1150000
V1298 Tau d,V1298 Tau,3,4,12.40139400000,0.1081000000,6.53000000,6.00000000,0.008700,831.00,K1,4970.00,1.320000,1.100000,108.19900000,10.1150000
V1298 Tau e,V1298 Tau,3,4,48.67771400000,0.2689000000,10.17000000,15.30000000,0.012400,527.00,K1,4970.00,1.320000,1.100000,108.19900000,10.1150000
WASP-11 b,WASP-11,3,1,3.72247000000,0.0435000000,12.44199000,251.08570000,0.000000,992.00,K3 V,4800.00,0.890000,1.420000,124.73000000,11.5670000
WASP-12 b,WASP-12,3,1,1.09141890100,0.0234000000,22.02564708,467.21010000,0.044700,2601.00,,6265.00,1.690000,1.325000,427.24600000,11.5690000
WASP-14 b,WASP-14,3,1,2.24375000000,0.0370000000,15.46842000,2809.61720000,0.090000,1872.00,,6475.00,1.400000,1.620000,161.99700000,9.7450000
WASP-24 b,WASP-24,3,1,2.34121000000,0.0365100000,15.46842000,394.10920000,0.000000,1772.00,,6075.00,1.420000,1.430000,322.11400000,11.2190000
WASP-3 b,WASP-3,3,1,1.84683000000,0.0315000000,15.91678000,772.32690000,0.000000,2020.00,,6400.00,1.440000,1.620000,231.16100000,10.6320000
WD 1856+534 b,WD 1856+534,3,1,1.40794050000,0.0204000000,10.40000000,4386.05400000,0.000000,163.00,DC,4710.00,0.013100,0.518000,24.73590000,17.2440000
eps Ind A b,eps Ind A,3,1,16510.00000000000,28.4000000000,12.70000000,2005.49724817,0.400000,275.00,K5 V,4760.00,0.679000,0.760000,3.63857000,4.6900000
psi1 Dra B b,psi1 Dra B,3,1,3117.00000000000,4.4300000000,13.50000000,486.27990000,0.400000,,G0 V,6212.00,1.255735,1.190000,22.71880000,5.8080000
